A,B,C
not_NaN,0.922,4
not_NaN,0.7,
not_NaN,0.503,8
not_NaN,0.938,4
not_NaN,0.952,10
not_NaN,0.972,
not_NaN,0.572,2
not_NaN,0.523,10
not_NaN,0.557,10
not_NaN,0.695,4
not_NaN,0.782,1
not_NaN,0.736,
not_NaN,0.706,0
not_NaN,0.682,3
not_NaN,0.916,8
not_NaN,0.935,5
not_NaN,0.823,1
not_NaN,0.763,2
not_NaN,0.976,5
not_NaN,0.684,
not_NaN,0.935,2
not_NaN,0.913,
not_NaN,0.538,5
not_NaN,0.552,2
not_NaN,0.892,5
not_NaN,0.891,7
not_NaN,0.96,2
not_NaN,0.799,6
not_NaN,0.577,0
not_NaN,0.801,4
