编号,地区,身高,体重,年龄,工资
1,A,157.5,,47,15905
2,B,202,91.8,25,
3,C,169.09,62.18,,
4,A,166.61,59.95,77,5434
5,B,185.19,,62,4242
6,A,187.13,78.42,55,13959
7,C,163.81,57.43,43,6533
8,A,183.8,75.42,48,19779
9,B,179.67,71.7,65,8608
10,C,186.08,77.47,65,12433
11,B,163.41,57.07,,6495
12,A,202.56,92.3,,
13,C,177.37,,79,
14,B,175.99,68.39,,13130
15,C,199.11,89.2,,
16,A,165.68,,46,13683
17,B,166.48,59.83,31,17673
18,C,191.62,82.46,,12447
19,A,172.83,65.55,23,13768
20,B,156.99,51.29,62,3054
21,C,200.22,90.2,41,
22,A,154.63,49.17,35,14559
23,B,157.87,52.08,67,7398
24,A,165.55,,66,19890
25,C,181.78,73.6,63,11383
26,A,164.43,57.99,34,19899
27,B,158.28,,51,
28,C,172.39,65.15,43,10362
29,B,162.12,55.91,,13362
30,A,183.73,75.36,58,8270
31,C,181.19,,41,12616
32,B,167.28,60.55,64,18317
33,C,181.01,,,13021
34,A,196.67,87,,
35,B,170.12,63.11,77,7398
36,C,180.47,72.42,78,9554
